figure_id,xaxis,x,lci,uci,pred
GT8,GT6v4,3.68759806678021e-07,5.44740092248958e-11,3.24067235966506e-10,1.30585940027656e-10
GT8,GT6v4,4.6139601097126e-07,5.92841083469281e-11,3.13746163606661e-10,1.34864354688056e-10
GT8,GT6v4,5.77303369523866e-07,6.509831423249919e-11,3.07322409277446e-10,1.39282943949201e-10
GT8,GT6v4,7.2232783235824e-07,7.123362871499619e-11,2.95780940066858e-10,1.4384630038106301e-10
GT8,GT6v4,9.03783911446204e-07,7.8460292449782e-11,2.89120818069309e-10,1.4855916702094901e-10
GT8,GT6v4,1.13082359836842e-06,8.47769770954329e-11,2.87185345117485e-10,1.53426442303301e-10
GT8,GT6v4,1.41489795783227e-06,9.31470597268651e-11,2.79211763196191e-10,1.58453185150995e-10
GT8,GT6v4,1.77033467816409e-06,1.02655628378442e-10,2.73501687624922e-10,1.63644620233466e-10
GT8,GT6v4,2.21506070834396e-06,1.11523469312475e-10,2.72019554905292e-10,1.69006143397094e-10
GT8,GT6v4,2.7715064287943e-06,1.17190695989755e-10,2.7420192702778e-10,1.7454332727351002e-10
GT8,GT6v4,3.4677369590429e-06,1.22056525241376e-10,2.69742697315159e-10,1.80261927071649e-10
GT8,GT6v4,4.33886766134744e-06,1.25677610140589e-10,2.79091278417066e-10,1.86167886559569e-10
GT8,GT6v4,5.42883523318981e-06,1.29419683271893e-10,2.89398729826933e-10,1.92267344242253e-10
GT8,GT6v4,6.79261371617185e-06,1.31848873172636e-10,3.0238792118416004e-10,1.98566639741814e-10
GT8,GT6v4,8.49898718882573e-06,1.33784828988901e-10,3.16103624283706e-10,2.0507232038674301e-10
GT8,GT6v4,1.06340189879858e-05,1.3538267703339001e-10,3.3581525991659503e-10,2.1179114801703e-10
GT8,GT6v4,1.33053924337619e-05,1.32016545603763e-10,3.61334764128685e-10,2.18730106012255e-10
GT8,GT6v4,1.66478419886611e-05,1.29954142598942e-10,3.9184601041135703e-10,2.25896406549935e-10
GT8,GT6v4,2.08299487789755e-05,1.25439520573592e-10,4.23946394283897e-10,2.33297498101678e-10
GT8,GT6v4,2.60626432200801e-05,1.22445462332717e-10,4.660025328624161e-10,2.40941073174931e-10
GT8,GT6v4,3.26098435874595e-05,1.1926101979437e-10,5.154045815425271e-10,2.48835076308391e-10
GT8,GT6v4,4.08017671046992e-05,1.15154783643408e-10,5.59936882510808e-10,2.56987712329344e-10
GT8,GT6v4,5.10515849118126e-05,1.11231388177701e-10,6.17089799693078e-10,2.65407454881564e-10
GT8,GT6v4,6.38762609305674e-05,1.06430775073988e-10,6.76457093128165e-10,2.74103055232598e-10
GT8,GT6v4,7.99226256641806e-05,1.01724671599851e-10,7.45080655093028e-10,2.83083551369619e-10
GT8,GT6v4,0.0001,9.87653189272818e-11,8.271260038450501e-10,2.92358277393274e-10
GT8,GT6-N276+,3.8e-07,1.4045172690815398e-11,2.1768655032067601e-10,5.257058764447869e-11
GT8,GT6-N276+,4.38369598335989e-07,1.5582876295987197e-11,2.20757229297545e-10,5.58448892522441e-11
GT8,GT6-N276+,5.05705012487517e-07,1.72804843779105e-11,2.23035967054873e-10,5.932312715783319e-11
GT8,GT6-N276+,5.83383429475392e-07,1.916303092338e-11,2.25426382503985e-10,6.301800331071509e-11
GT8,GT6-N276+,6.72993578039472e-07,2.1250663241814897e-11,2.27702269435697e-10,6.6943010787403e-11
GT8,GT6-N276+,7.76368222336482e-07,2.35657235028544e-11,2.2985283787400401e-10,7.111248306593619e-11
GT8,GT6-N276+,8.956216468065e-07,2.6083935122312698e-11,2.32177727022793e-10,7.55416463693725e-11
GT8,GT6-N276+,1.03319289887258e-06,2.8647401695935498e-11,2.3448899529988503e-10,8.024667526943389e-11
GT8,GT6-N276+,1.19189567390098e-06,3.18881120673809e-11,2.36015692990528e-10,8.524475175336979e-11
GT8,GT6-N276+,1.37497586270098e-06,3.5515225586384e-11,2.37190404760523e-10,9.05541279697291e-11
GT8,GT6-N276+,1.58617793856292e-06,3.9500756664244e-11,2.40346220952646e-10,9.61941928821905e-11
GT8,GT6-N276+,1.8298215416243e-06,4.3810060747248e-11,2.4172932711119203e-10,1.02185543074848e-10
GT8,GT6-N276+,2.11088982691681e-06,4.8862426747080796e-11,2.44776288309162e-10,1.08550057967531e-10
GT8,GT6-N276+,2.43513138304486e-06,5.4562500471039e-11,2.4915234439433e-10,1.15310979715824e-10
GT8,GT6-N276+,2.80917780600194e-06,6.076110945493829e-11,2.57128847516791e-10,1.22492998087579e-10
GT8,GT6-N276+,3.24067933281959e-06,6.701827763468419e-11,2.5991164879216203e-10,1.30122340625854e-10
GT8,GT6-N276+,3.73846130911543e-06,7.283810880761439e-11,2.66899574581242e-10,1.38226868427575e-10
GT8,GT6-N276+,4.31270469071465e-06,7.88986133530239e-11,2.73180089685947e-10,1.4683617788764e-10
GT8,GT6-N276+,4.97515427107979e-06,8.7394617543952e-11,2.81809184860028e-10,1.5598170878006802e-10
GT8,GT6-N276+,5.73935889334954e-06,9.72676590556247e-11,2.91515742180132e-10,1.65696859070846e-10
GT8,GT6-N276+,6.62094855995717e-06,1.05901872005409e-10,3.01623708840448e-10,1.76017106881778e-10
GT8,GT6-N276+,7.63795410745176e-06,1.16078260895579e-10,3.1310583335191e-10,1.86980140050721e-10
GT8,GT6-N276+,8.8111759847167e-06,1.26292114014028e-10,3.2282425772867e-10,1.98625993761329e-10
GT8,GT6-N276+,1.01646096770736e-05,1.37325897005585e-10,3.32165187486539e-10,2.10997196744925e-10
GT8,GT6-N276+,1.17259364773181e-05,1.47272140182711e-10,3.44839879003796e-10,2.2413892658839e-10
GT8,GT6-N276+,1.35270896412506e-05,1.55754747314025e-10,3.59753727647551e-10,2.38099174715239e-10
GT8,GT6-N276+,1.56049075070788e-05,1.63523586560265e-10,3.77468518642858e-10,2.52928921642363e-10
GT8,GT6-N276+,1.80018869367063e-05,1.72172535983312e-10,4.02664610720538e-10,2.68682323152437e-10
GT8,GT6-N276+,2.07670524887733e-05,1.82052749076201e-10,4.29712218012717e-10,2.85416908061887e-10
GT8,GT6-N276+,2.39569591003314e-05,1.91774117796648e-10,4.66191751121828e-10,3.03193788306608e-10
GT8,GT6-N276+,2.76368487846421e-05,1.99194590364806e-10,5.1255661415164e-10,3.22077882112645e-10
GT8,GT6-N276+,3.18819850026212e-05,2.06540966077289e-10,5.58275642876599e-10,3.42138151066819e-10
GT8,GT6-N276+,3.67791919993502e-05,2.13484532950123e-10,6.16267401920939e-10,3.63447851953026e-10
GT8,GT6-N276+,4.24286305891509e-05,2.21942057982553e-10,6.67358705427507e-10,3.86084804273908e-10
GT8,GT6-N276+,4.89458467087161e-05,2.3245471022786101e-10,7.25055959341191e-10,4.10131674434786e-10
GT8,GT6-N276+,5.64641346366179e-05,2.39524503006764e-10,7.98598070255904e-10,4.3567627762771803e-10
GT8,GT6-N276+,6.51372632132722e-05,2.47047222127441e-10,8.77834420961225e-10,4.6281189851803403e-10
GT8,GT6-N276+,7.51426208197571e-05,2.53454075598985e-10,9.62541127953589e-10,4.91637631904521e-10
GT8,GT6-N276+,8.66848434386064e-05,2.5868590996619e-10,1.0606335705279e-09,5.2225874459722e-10
GT8,GT6-N276+,0.0001,2.60225277349979e-10,1.1909851559806301e-09,5.54787059834418e-10
